Name	Version	Architecturet	Description
libpng-dev:amd64	1.6.37-3build5	amd64	PNG library - development (version 1.6)
libpng16-16:amd64	1.6.37-3build5	amd64	PNG library - runtime (version 1.6)
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-14ubuntu1	amd64	Speech recognition tool - front-end library
libpoppler-cpp-dev:amd64	22.02.0-2ubuntu0.1	amd64	PDF rendering library -- development files (CPP interface)
libpoppler-cpp0v5:amd64	22.02.0-2ubuntu0.1	amd64	PDF rendering library (CPP shared library)
libpoppler-dev:amd64	22.02.0-2ubuntu0.1	amd64	PDF rendering library -- development files
libpoppler-private-dev:amd64	22.02.0-2ubuntu0.1	amd64	PDF rendering library -- private development files
libpoppler118:amd64	22.02.0-2ubuntu0.1	amd64	PDF rendering library
libpostproc-dev:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library for post processing - development files
libpostproc55:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64	FFmpeg library for post processing - runtime files
libpq-dev	14.5-0ubuntu0.22.04.1	amd64	header files for libpq5 (PostgreSQL library)
libpq5:amd64	14.5-0ubuntu0.22.04.1	amd64	PostgreSQL C client library
libprocps8:amd64	2:3.3.17-6ubuntu2	amd64	library for accessing process information from /proc
libproj-dev:amd64	8.2.1-1	amd64	Cartographic projection library (development files)
libproj22:amd64	8.2.1-1	amd64	Cartographic projection library
libprotobuf-dev:amd64	3.12.4-1ubuntu7	amd64	protocol buffers C++ library (development files) and proto files
libprotobuf-lite23:amd64	3.12.4-1ubuntu7	amd64	protocol buffers C++ library (lite version)
libprotobuf23:amd64	3.12.4-1ubuntu7	amd64	protocol buffers C++ library
libprotoc-dev:amd64	3.12.4-1ubuntu7	amd64	protocol buffers compiler library (development files)
libprotoc23:amd64	3.12.4-1ubuntu7	amd64	protocol buffers compiler library
libpsl5:amd64	0.21.0-1.2build2	amd64	Library for Public Suffix List (shared libraries)
libpsm-infinipath1	3.3+20.604758e7-6.1	amd64	PSM Messaging library for Intel Truescale adapters
libpsm2-2	11.2.185-1	amd64	Intel PSM2 library
libpthread-stubs0-dev:amd64	0.4-1build2	amd64	pthread stubs not provided by native libc, development files
libpulse0:amd64	1:15.99.1+dfsg1-1ubuntu2	amd64	PulseAudio client libraries
libpython2-stdlib:amd64	2.7.18-3	amd64	interactive high-level object-oriented language (Python2)
libpython2.7-minimal:amd64	2.7.18-13ubuntu1.1	amd64	Minimal subset of the Python language (version 2.7)
libpython2.7-stdlib:amd64	2.7.18-13ubuntu1.1	amd64	Interactive high-level object-oriented language (standard library, version 2.7)
libpython3-dev:amd64	3.10.6-1~22.04	amd64	header files and a static library for Python (default)
libpython3-stdlib:amd64	3.10.6-1~22.04	amd64	interactive high-level object-oriented language (default python3 version)
libpython3.10:amd64	3.10.6-1~22.04.2	amd64	Shared Python runtime library (version 3.10)
libpython3.10-dev:amd64	3.10.6-1~22.04.2	amd64	Header files and a static library for Python (v3.10)
libpython3.10-minimal:amd64	3.10.6-1~22.04.2	amd64	Minimal subset of the Python language (version 3.10)
libpython3.10-stdlib:amd64	3.10.6-1~22.04.2	amd64	Interactive high-level object-oriented language (standard library, version 3.10)
libqhull-dev:amd64	2020.2-4	amd64	calculate convex hulls and related structures (development files)
libqhull-r8.0:amd64	2020.2-4	amd64	calculate convex hulls and related structures (reentrant shared library)
libqhull8.0:amd64	2020.2-4	amd64	calculate convex hulls and related structures (shared library)
libqhullcpp8.0:amd64	2020.2-4	amd64	calculate convex hulls and related structures (C++ shared library)
libquadmath0:amd64	12.1.0-2ubuntu1~22.04	amd64	GCC Quad-Precision Math Library
librabbitmq4:amd64	0.10.0-1ubuntu2	amd64	AMQP client library written in C
libraptor2-0:amd64	2.0.15-0ubuntu4	amd64	Raptor 2 RDF syntax library
libraptor2-dev	2.0.15-0ubuntu4	amd64	Raptor 2 RDF syntax library development libraries and headers
librasqal3:amd64	0.9.33-0.2ubuntu1	amd64	Rasqal RDF query library
librasqal3-dev	0.9.33-0.2ubuntu1	amd64	Rasqal RDF query library development libraries and headers
librbio2:amd64	1:5.10.1+dfsg-4build1	amd64	read/write sparse matrices in Rutherford/Boeing format
librdf0:amd64	1.0.17-1.1ubuntu3	amd64	Redland Resource Description Framework (RDF) library
librdf0-dev	1.0.17-1.1ubuntu3	amd64	Redland RDF library development libraries and headers
librdmacm1:amd64	39.0-1	amd64	Library for managing RDMA connections
libreadline-dev:amd64	8.1.2-1	amd64	GNU readline and history libraries, development files
libreadline8:amd64	8.1.2-1	amd64	GNU readline and history libraries, run-time libraries
libreadonly-perl	2.050-3	all	facility for creating read-only scalars, arrays and hashes
libregexp-common-perl	2017060201-1	all	module with common regular expressions
librhash0:amd64	1.4.2-1ubuntu1	amd64	shared library for hash functions computing
librole-tiny-perl	2.002004-1	all	Perl module for minimalist role composition
librsvg2-2:amd64	2.52.5+dfsg-3	amd64	SAX-based renderer library for SVG files (runtime)
librsvg2-common:amd64	2.52.5+dfsg-3	amd64	SAX-based renderer library for SVG files (extra runtime)
librsvg2-dev:amd64	2.52.5+dfsg-3	amd64	SAX-based renderer library for SVG files (development)
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4	amd64	toolkit for RTMP streams (shared library)
librttopo-dev:amd64	1.1.0-2	amd64	Tuscany Region topology library - Development files
librttopo1:amd64	1.1.0-2	amd64	Tuscany Region topology library
librubberband2:amd64	2.0.0-2	amd64	audio time-stretching and pitch-shifting library
libsamplerate0:amd64	0.2.2-1build1	amd64	Audio sample rate conversion library
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1	amd64	Cyrus SASL - authentication abstraction library
libsasl2-dev	2.1.27+dfsg2-3ubuntu1	amd64	Cyrus SASL - development files for authentication abstraction library
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1	amd64	Cyrus SASL - pluggable authentication modules (DB)
libsbml5	5.19.0+dfsg-1ubuntu2	amd64	System Biology Markup Language library
libsbml5-dev	5.19.0+dfsg-1ubuntu2	amd64	System Biology Markup Language library - development files
libscalar-list-utils-perl	1:1.61-1	amd64	modules providing common scalar and list utility subroutines
libseccomp2:amd64	2.5.3-2ubuntu2	amd64	high level interface to Linux seccomp filter
libselinux1:amd64	3.3-1build2	amd64	SELinux runtime shared libraries
libselinux1-dev:amd64	3.3-1build2	amd64	SELinux development headers
libsemanage-common	3.3-1build2	all	Common files for SELinux policy management libraries
libsemanage2:amd64	3.3-1build2	amd64	SELinux policy management library
libsensors-config	1:3.6.0-7ubuntu1	all	lm-sensors configuration files
libsensors5:amd64	1:3.6.0-7ubuntu1	amd64	library to read temperature/voltage/fan sensors
libsepol-dev:amd64	3.3-1build1	amd64	SELinux binary policy manipulation library and development files
libsepol2:amd64	3.3-1build1	amd64	SELinux library for manipulating binary security policies
libserd-0-0:amd64	0.30.10-2	amd64	lightweight RDF syntax library
libshine3:amd64	3.1.1-2	amd64	Fixed-point MP3 encoding library - runtime files
libsigc++-2.0-0v5:amd64	2.10.4-2ubuntu3	amd64	type-safe Signal Framework for C++ - runtime
libsigc++-2.0-dev:amd64	2.10.4-2ubuntu3	amd64	type-safe Signal Framework for C++ - development files
libsigsegv2:amd64	2.13-1ubuntu3	amd64	Library for handling page faults in a portable way
libsliplu1:amd64	1:5.10.1+dfsg-4build1	amd64	solves sparse linear systems in exact arithmetic
libsm-dev:amd64	2:1.2.3-1build2	amd64	X11 Session Management library (development headers)
libsm6:amd64	2:1.2.3-1build2	amd64	X11 Session Management library
libsmartcols1:amd64	2.37.2-4ubuntu3	amd64	smart column output alignment library
libsnappy1v5:amd64	1.1.8-1build3	amd64	fast compression/decompression library
libsndfile1:amd64	1.0.31-2build1	amd64	Library for reading/writing audio files
